timestamp,date,time,agent,key,old_value,new_value
2026-04-06T18:11:01.168Z,2026-04-06,18:11:01,SCALPER2,sessionFrom,08:00,
2026-04-06T18:11:01.168Z,2026-04-06,18:11:01,SCALPER2,sessionUntil,22:00,
2026-04-06T18:11:01.169Z,2026-04-06,18:11:01,SCALPER2,sessionTz,UTC,UTC
2026-04-06T18:14:44.840Z,2026-04-06,18:14:44,SCALPER3,leverage,50,50
2026-04-06T18:14:44.840Z,2026-04-06,18:14:44,SCALPER3,riskPct,1,1
2026-04-06T18:14:44.841Z,2026-04-06,18:14:44,SCALPER3,minRR,4,4
2026-04-06T18:14:44.841Z,2026-04-06,18:14:44,SCALPER3,slPct,0.5,10
2026-04-06T18:14:44.841Z,2026-04-06,18:14:44,SCALPER3,maxTrades,5,5
2026-04-06T18:14:44.842Z,2026-04-06,18:14:44,SCALPER3,shortOnly,true,true
2026-04-06T18:14:44.842Z,2026-04-06,18:14:44,SCALPER3,negTpGuard,true,true
2026-04-06T18:14:44.842Z,2026-04-06,18:14:44,SCALPER3,excludedSymbols,"XAUTUSDT,XAUUSDT",XAUTUSDT
2026-04-08T20:50:59.211Z,2026-04-08,20:50:59,SCALPER1,leverage,10,20
2026-04-08T20:50:59.212Z,2026-04-08,20:50:59,SCALPER1,riskPct,1,1
2026-04-08T20:50:59.212Z,2026-04-08,20:50:59,SCALPER1,tp,15,15
2026-04-08T20:50:59.212Z,2026-04-08,20:50:59,SCALPER1,sl,5,5
2026-04-08T20:50:59.213Z,2026-04-08,20:50:59,SCALPER1,maxTrades,5,5
2026-04-08T20:50:59.213Z,2026-04-08,20:50:59,SCALPER1,marginMode,isolated,crossed
2026-04-08T20:50:59.213Z,2026-04-08,20:50:59,SCALPER1,rsiPeriod,14,14
2026-04-08T20:50:59.213Z,2026-04-08,20:50:59,SCALPER1,rsiOversold,30,27
2026-04-08T20:50:59.214Z,2026-04-08,20:50:59,SCALPER1,rsiOverbought,70,84
2026-04-08T20:50:59.214Z,2026-04-08,20:50:59,SCALPER1,emaEnabled,true,true
2026-04-08T20:50:59.214Z,2026-04-08,20:50:59,SCALPER1,emaPeriod,50,50
2026-04-08T20:50:59.214Z,2026-04-08,20:50:59,SCALPER1,emaTf,Min60,Min60
2026-04-08T20:50:59.215Z,2026-04-08,20:50:59,SCALPER1,cooldownMin,10,10
2026-04-08T20:50:59.215Z,2026-04-08,20:50:59,SCALPER1,minVol24h,1000000,50000
2026-04-08T20:57:54.029Z,2026-04-08,20:57:54,SCALPER2,leverage,10,20
2026-04-08T20:57:54.029Z,2026-04-08,20:57:54,SCALPER2,riskPct,1.6,3
2026-04-08T20:57:54.030Z,2026-04-08,20:57:54,SCALPER2,tp,25,25
2026-04-08T20:57:54.030Z,2026-04-08,20:57:54,SCALPER2,sl,15,15
2026-04-08T20:57:54.030Z,2026-04-08,20:57:54,SCALPER2,maxTrades,5,5
2026-04-08T20:57:54.030Z,2026-04-08,20:57:54,SCALPER2,marginMode,isolated,crossed
2026-04-08T20:57:54.031Z,2026-04-08,20:57:54,SCALPER2,vwapDeviation,0.3,0.3
2026-04-08T20:57:54.031Z,2026-04-08,20:57:54,SCALPER2,minImpulse,0.5,5
2026-04-08T20:57:54.031Z,2026-04-08,20:57:54,SCALPER2,trailingStop,true,true
2026-04-08T20:57:54.031Z,2026-04-08,20:57:54,SCALPER2,trailActivation,1,1
2026-04-08T20:57:54.032Z,2026-04-08,20:57:54,SCALPER2,trailDistance,0.5,0.5
2026-04-08T20:57:54.032Z,2026-04-08,20:57:54,SCALPER2,sessionFilter,false,false
2026-04-08T20:57:54.032Z,2026-04-08,20:57:54,SCALPER2,sessionFrom,,
2026-04-08T20:57:54.032Z,2026-04-08,20:57:54,SCALPER2,sessionUntil,,
2026-04-08T20:57:54.032Z,2026-04-08,20:57:54,SCALPER2,sessionTz,UTC,UTC
2026-04-08T21:41:01.370Z,2026-04-08,21:41:01,SCALPER3,leverage,50,50
2026-04-08T21:41:01.371Z,2026-04-08,21:41:01,SCALPER3,riskPct,1,2
2026-04-08T21:41:01.371Z,2026-04-08,21:41:01,SCALPER3,minRR,4,4
2026-04-08T21:41:01.371Z,2026-04-08,21:41:01,SCALPER3,slPct,10,10
2026-04-08T21:41:01.372Z,2026-04-08,21:41:01,SCALPER3,maxTrades,5,5
2026-04-08T21:41:01.372Z,2026-04-08,21:41:01,SCALPER3,marginMode,crossed,crossed
2026-04-08T21:41:01.372Z,2026-04-08,21:41:01,SCALPER3,minWallSize,50000,50000
2026-04-08T21:41:01.372Z,2026-04-08,21:41:01,SCALPER3,maxSpread,0.1,0.2
2026-04-08T21:41:01.373Z,2026-04-08,21:41:01,SCALPER3,shortOnly,true,true
2026-04-08T21:41:01.373Z,2026-04-08,21:41:01,SCALPER3,negTpGuard,true,true
2026-04-08T21:41:01.373Z,2026-04-08,21:41:01,SCALPER3,excludedSymbols,XAUTUSDT,XAUTUSDT
2026-04-15T08:08:30.902Z,2026-04-15,08:08:30,SCALPER1,leverage,20,20
2026-04-15T08:08:30.903Z,2026-04-15,08:08:30,SCALPER1,riskPct,1,1
2026-04-15T08:08:30.903Z,2026-04-15,08:08:30,SCALPER1,tp,15,15
2026-04-15T08:08:30.904Z,2026-04-15,08:08:30,SCALPER1,sl,5,5
2026-04-15T08:08:30.904Z,2026-04-15,08:08:30,SCALPER1,maxTrades,5,50
2026-04-15T08:08:30.904Z,2026-04-15,08:08:30,SCALPER1,marginMode,crossed,crossed
2026-04-15T08:08:30.904Z,2026-04-15,08:08:30,SCALPER1,rsiPeriod,14,14
2026-04-15T08:08:30.905Z,2026-04-15,08:08:30,SCALPER1,rsiOversold,27,27
2026-04-15T08:08:30.905Z,2026-04-15,08:08:30,SCALPER1,rsiOverbought,84,84
2026-04-15T08:08:30.905Z,2026-04-15,08:08:30,SCALPER1,emaEnabled,true,true
2026-04-15T08:08:30.905Z,2026-04-15,08:08:30,SCALPER1,emaPeriod,50,50
2026-04-15T08:08:30.906Z,2026-04-15,08:08:30,SCALPER1,emaTf,Min60,Min60
2026-04-15T08:08:30.906Z,2026-04-15,08:08:30,SCALPER1,cooldownMin,10,10
2026-04-15T08:08:30.906Z,2026-04-15,08:08:30,SCALPER1,minVol24h,50000,50000
2026-04-15T08:59:54.904Z,2026-04-15,08:59:54,SCALPER1,leverage,20,25
2026-04-15T08:59:54.904Z,2026-04-15,08:59:54,SCALPER1,riskPct,1,1
2026-04-15T08:59:54.904Z,2026-04-15,08:59:54,SCALPER1,tp,15,1.5
2026-04-15T08:59:54.905Z,2026-04-15,08:59:54,SCALPER1,sl,5,0.4
2026-04-15T08:59:54.905Z,2026-04-15,08:59:54,SCALPER1,maxTrades,50,50
2026-04-15T08:59:54.905Z,2026-04-15,08:59:54,SCALPER1,marginMode,crossed,crossed
2026-04-15T08:59:54.905Z,2026-04-15,08:59:54,SCALPER1,rsiPeriod,14,14
2026-04-15T08:59:54.905Z,2026-04-15,08:59:54,SCALPER1,rsiOversold,27,30
2026-04-15T08:59:54.906Z,2026-04-15,08:59:54,SCALPER1,rsiOverbought,84,70
2026-04-15T08:59:54.906Z,2026-04-15,08:59:54,SCALPER1,emaEnabled,true,true
2026-04-15T08:59:54.906Z,2026-04-15,08:59:54,SCALPER1,emaPeriod,50,50
2026-04-15T08:59:54.906Z,2026-04-15,08:59:54,SCALPER1,emaTf,Min60,Min60
2026-04-15T08:59:54.906Z,2026-04-15,08:59:54,SCALPER1,cooldownMin,10,10
2026-04-15T08:59:54.907Z,2026-04-15,08:59:54,SCALPER1,minVol24h,50000,50000
2026-04-15T09:00:06.505Z,2026-04-15,09:00:06,SCALPER1,leverage,25,25
2026-04-15T09:00:06.505Z,2026-04-15,09:00:06,SCALPER1,riskPct,1,1
2026-04-15T09:00:06.505Z,2026-04-15,09:00:06,SCALPER1,tp,1.5,1.5
2026-04-15T09:00:06.506Z,2026-04-15,09:00:06,SCALPER1,sl,0.4,0.4
2026-04-15T09:00:06.506Z,2026-04-15,09:00:06,SCALPER1,maxTrades,50,10
2026-04-15T09:00:06.506Z,2026-04-15,09:00:06,SCALPER1,marginMode,crossed,crossed
2026-04-15T09:00:06.506Z,2026-04-15,09:00:06,SCALPER1,rsiPeriod,14,14
2026-04-15T09:00:06.506Z,2026-04-15,09:00:06,SCALPER1,rsiOversold,30,30
2026-04-15T09:00:06.507Z,2026-04-15,09:00:06,SCALPER1,rsiOverbought,70,70
2026-04-15T09:00:06.507Z,2026-04-15,09:00:06,SCALPER1,emaEnabled,true,true
2026-04-15T09:00:06.507Z,2026-04-15,09:00:06,SCALPER1,emaPeriod,50,50
2026-04-15T09:00:06.507Z,2026-04-15,09:00:06,SCALPER1,emaTf,Min60,Min60
2026-04-15T09:00:06.507Z,2026-04-15,09:00:06,SCALPER1,cooldownMin,10,10
2026-04-15T09:00:06.508Z,2026-04-15,09:00:06,SCALPER1,minVol24h,50000,50000
2026-04-15T10:20:46.515Z,2026-04-15,10:20:46,SCALPER1,rsiPeriod,14,12
2026-04-15T10:20:46.515Z,2026-04-15,10:20:46,SCALPER1,rsiOversold,30,35
2026-04-15T10:20:46.515Z,2026-04-15,10:20:46,SCALPER1,rsiOverbought,70,70
2026-04-15T10:20:46.515Z,2026-04-15,10:20:46,SCALPER1,leverage,25,15
2026-04-15T10:20:46.516Z,2026-04-15,10:20:46,SCALPER1,tp,1.5,2
2026-04-15T10:20:46.516Z,2026-04-15,10:20:46,SCALPER1,sl,0.4,0.5
2026-04-15T10:21:17.333Z,2026-04-15,10:21:17,SCALPER1,rsiPeriod,12,12
2026-04-15T10:21:17.334Z,2026-04-15,10:21:17,SCALPER1,rsiOversold,35,35
2026-04-15T10:21:17.334Z,2026-04-15,10:21:17,SCALPER1,rsiOverbought,70,70
2026-04-15T10:21:17.334Z,2026-04-15,10:21:17,SCALPER1,leverage,15,15
2026-04-15T10:21:17.334Z,2026-04-15,10:21:17,SCALPER1,tp,2,2
2026-04-15T10:21:17.334Z,2026-04-15,10:21:17,SCALPER1,sl,0.5,0.5
2026-04-15T10:35:37.422Z,2026-04-15,10:35:37,SCALPER1,leverage,15,15
2026-04-15T10:35:37.422Z,2026-04-15,10:35:37,SCALPER1,riskPct,1,5
2026-04-15T10:35:37.423Z,2026-04-15,10:35:37,SCALPER1,tp,2,2
2026-04-15T10:35:37.423Z,2026-04-15,10:35:37,SCALPER1,sl,0.5,0.5
